# Nome do Experimento, Alpha, Gamma, Beta, Rho
G_m4_beta4 0.0481 0.4556 8.8437 2.6049
S_m4_beta2 0.3070 0.5545 1.4057 0.9529
S_m3_beta4 0.3840 3.5412 0.9584 0.1268
G_m4_beta1 0.1577 0.7713 1.7498 0.7194
S_m4_beta1 0.0278 0.5001 9.4136 2.4248
S_m3_beta1 0.8526 13.2110 0.8438 0.0369
S_m3_beta2 0.6322 7.8567 0.9119 0.0605
G_m4_beta2 0.4355 0.7379 1.1030 0.6648
G_m3_beta4 0.6356 7.9036 0.9103 0.0602
G_m3_beta2 0.7234 11.8035 0.8136 0.0391
S_m4_beta4 0.0713 0.2508 5.1521 3.6523
G_m3_beta1 0.6795 16.0395 0.9014 0.0299
